taskid,MIDSAT+LOW-Dtime,MIDSAT+LOW-Etime,SAT+HIGH-Dtime,SAT+HIGH-Etime,UNSAT+HIGH-Dtime,UNSAT+HIGH-Etime,MIDSAT+HIGH-Dtime,MIDSAT+HIGH-Etime,UNSAT+LOW-Dtime,UNSAT+LOW-Etime,SAT+LOW-Dtime,SAT+LOW-Etime
11,130234.0,167600.0,165702.2,144400.0,199668.5,208750.0,103765.5,144000.0,170267.75,145500.0,186743.8,231600.0
10,248474.25,219500.0,234571.5,288750.0,219199.75,262250.0,242219.25,277250.0,458015.4,455800.0,211158.0,268500.0
13,146581.6,134400.0,102069.5,127500.0,217906.8,238000.0,166543.4,180400.0,140696.6,144400.0,115343.0,169400.0
12,93107.5,122250.0,90929.2,133200.0,206574.6,234800.0,149060.75,171500.0,173822.8,140800.0,117533.75,133500.0
15,244711.25,238250.0,146308.5,221500.0,165434.0,220250.0,228256.8,233600.0,241033.5,172500.0,191195.2,234400.0
14,97465.3333333,102666.666667,146438.0,157600.0,130937.0,145750.0,159680.75,211500.0,108243.0,141750.0,157595.0,199600.0
17,283888.75,250500.0,213444.8,173200.0,316640.25,374250.0,170630.0,192500.0,226277.666667,189666.666667,195025.6,179200.0
16,98729.6,122800.0,124050.4,165800.0,128359.0,136250.0,179215.6,204400.0,95558.75,155000.0,101180.6,87200.0
19,464427.0,454666.666667,348399.0,397250.0,183154.5,252000.0,269346.0,325250.0,477557.6,486200.0,239632.0,224000.0
18,215420.0,181400.0,195844.0,241000.0,172979.0,199250.0,251606.75,240250.0,189234.75,141750.0,200552.75,230000.0
20,150314.4,179800.0,155175.75,189500.0,197296.0,214750.0,315785.8,297000.0,226518.0,157500.0,169499.5,211750.0
1,237317.5,308750.0,215267.75,227250.0,225963.0,299000.0,214083.6,257600.0,324595.75,260500.0,249252.4,217000.0
3,93470.2,70400.0,63272.75,57750.0,102099.8,142400.0,48105.0,60250.0,102671.2,95400.0,57987.75,53000.0
2,290956.8,368400.0,150007.25,141000.0,170409.4,164400.0,176258.4,211400.0,229806.8,176800.0,222438.75,179250.0
5,207638.5,229750.0,168410.8,209200.0,198201.4,242600.0,204603.25,259500.0,209875.5,253750.0,180338.6,165600.0
4,143635.0,131250.0,133386.75,172250.0,213288.75,284250.0,203453.25,224000.0,162734.4,167400.0,182539.0,188500.0
7,126113.4,138000.0,190697.0,219500.0,180719.5,213750.0,193595.0,215800.0,248149.0,315600.0,160774.25,114750.0
6,189974.4,171800.0,110236.5,113000.0,164618.6,205200.0,185949.8,236200.0,166796.5,186000.0,142651.0,115000.0
9,188983.25,216500.0,177017.8,246800.0,220553.2,263200.0,183359.25,207250.0,225918.0,216200.0,313521.0,306000.0
8,181884.4,152200.0,220188.75,222750.0,181411.6,207200.0,182767.0,206500.0,126673.5,180000.0,255364.5,257500.0
