taskid,SAT-Dtime,SAT-Etime,MIDSAT-Dtime,MIDSAT-Etime,UNSAT-Dtime,UNSAT-Etime
11,176223,188000,123155.25,167375,178207.8571,178428.5714
10,225902.4286,295285.7143,245346.75,248375,327451.625,341750
13,103578.5,150000,156562.5,157400,179301.7,191200
12,102102,125125,121084.125,146875,190198.7,187800
15,165289.25,225875,243150,230375,203426,199857.1429
14,152016.5,178600,130212,150166.6667,127459.8571,157000
17,204235.2,176200,221900.8333,229000,298670.6667,310333.3333
16,111130.1111,134111.1111,138972.6,163600,111958.875,145625
19,294015.5,310625,379671.5,403166.6667,346711.7778,382111.1111
18,203094.125,227125,231503,207555.5556,182823.4286,176000
20,156659.8571,184571.4286,217899.25,269500,211907,186125
1,220517,237000,216282.5,269750,275279.375,279750
3,60630.25,55375,77628.75,70500,104762.7778,128888.8889
2,195417.5714,171000,231349.6667,287888.8889,200108.1,170600
5,174374.7,187400,206120.875,244625,212118,246000
4,157962.875,180375,173544.125,177625,195886.125,235375
7,181680.8571,170142.8571,159854.2,181222.2222,206627.375,239000
6,126443.75,114000,187962.1,204000,169308.25,190875
9,238032.5,267000,186171.25,211875,223235.6,239700
8,237776.625,240125,172924.375,169375,151678.875,181750
