taskid,SAT-Dtime,SAT-Etime,,MIDSAT-Dtime,MIDSAT-Etime,,UNSAT-Dtime,UNSAT-Etime,,,
11,176223,188000,FALSE,118470.2222,157111.1111,FALSE,184968.125,177125,TRUE,TRUE,FALSE
10,222864.75,278625,FALSE,245346.75,248375,FALSE,351875.1111,369777.7778,FALSE,TRUE,TRUE
13,109443.6667,150777.7778,FALSE,156562.5,157400,FALSE,179301.7,191200,FALSE,TRUE,TRUE
12,102753.4444,133333.3333,FALSE,121084.125,146875,FALSE,190198.7,187800,TRUE,TRUE,TRUE
15,171245.5556,228666.6667,FALSE,235569.8889,235666.6667,FALSE,203233.75,196375,TRUE,TRUE,FALSE
14,152016.5,178600,FALSE,133017,164857.1429,FALSE,119590,143750,FALSE,FALSE,FALSE
17,204235.2,176200,TRUE,227259.375,221500,TRUE,277913.4286,295142.8571,FALSE,TRUE,TRUE
16,112615.5,126500,FALSE,138972.6,163600,FALSE,111958.875,145625,FALSE,FALSE,TRUE
19,294015.5,310625,FALSE,352952.1429,380714.2857,FALSE,346711.7778,382111.1111,FALSE,TRUE,TRUE
18,197936.7778,236111.1111,FALSE,231503,207555.5556,TRUE,181106.875,170500,TRUE,FALSE,FALSE
20,162337.625,200625,FALSE,233050.1,238400,FALSE,211907,186125,TRUE,TRUE,FALSE
1,234148.1111,221555.5556,TRUE,224409.7778,280333.3333,FALSE,275279.375,279750,FALSE,TRUE,TRUE
3,60630.25,55375,TRUE,73307.88889,65888.88889,TRUE,102385.5,118900,FALSE,TRUE,TRUE
2,186223,160125,TRUE,233607.6,289900,FALSE,200108.1,170600,TRUE,TRUE,TRUE
5,174374.7,187400,FALSE,206120.875,244625,FALSE,203389.8889,247555.5556,FALSE,TRUE,TRUE
4,157962.875,180375,FALSE,173544.125,177625,FALSE,185203,219333.3333,FALSE,TRUE,TRUE
7,175735.625,167125,TRUE,159854.2,181222.2222,FALSE,218180.3333,270333.3333,FALSE,TRUE,TRUE
6,126443.75,114000,TRUE,187962.1,204000,FALSE,165586.5556,196666.6667,FALSE,TRUE,TRUE
9,237685.8889,273111.1111,FALSE,186171.25,211875,FALSE,223235.6,239700,FALSE,FALSE,FALSE
8,237776.625,240125,FALSE,182276.6667,176333.3333,TRUE,157083.5556,195111.1111,FALSE,FALSE,FALSE
