taskid,HIGH-Dtime,HIGH-Etime,LOW-Dtime,LOW-Etime
11,157095.923077,164076.923077,161854.285714,184142.857143
10,231996.833333,276083.333333,317585.076923,325461.538462
13,166466.357143,185857.142857,134207.066667,149400.0
12,148840.142857,180428.571429,131667.615385,132846.153846
15,183711.846154,225769.230769,222996.538462,216538.461538
14,145743.153846,170538.461538,126111.916667,156083.333333
17,232023.461538,241000.0,232459.666667,205583.333333
16,144983.285714,171142.857143,98699.0,119285.714286
19,266966.5,324833.333333,394966.416667,390916.666667
18,205966.384615,227923.076923,202788.461538,184153.846154
20,229908.923077,238615.384615,179664.769231,182769.230769
1,218103.153846,261000.0,268762.692308,258615.384615
3,73539.2307692,91076.9230769,86618.4285714,74357.1428571
2,166669.142857,174500.0,249540.928571,245928.571429
5,189391.0,235500.0,197826.846154,212461.538462
4,183376.25,226833.333333,162951.384615,162769.230769
7,188741.615385,216307.692308,179600.642857,199153.846154
6,156699.142857,189928.571429,168281.692308,158692.307692
9,194378.0,241357.142857,241508.230769,243923.076923
8,193760.076923,211769.230769,187505.692308,193153.846154
