taskid,MIDSAT+LOW,SAT+HIGH,UNSAT+HIGH,MIDSAT+HIGH,UNSAT+LOW,SAT+LOW
11,130234.0,165702.2,199668.5,103765.5,170267.75,186743.8
10,248474.25,234571.5,219199.75,242219.25,458015.4,211158.0
13,146581.6,102069.5,217906.8,166543.4,140696.6,115343.0
12,93107.5,90929.2,206574.6,149060.75,173822.8,117533.75
15,244711.25,146308.5,165434.0,228256.8,241033.5,191195.2
14,97465.3333333,146438.0,130937.0,159680.75,108243.0,157595.0
17,283888.75,213444.8,316640.25,170630.0,226277.666667,195025.6
16,98729.6,124050.4,128359.0,179215.6,95558.75,101180.6
19,464427.0,348399.0,183154.5,269346.0,477557.6,239632.0
18,215420.0,195844.0,172979.0,251606.75,189234.75,200552.75
20,150314.4,155175.75,197296.0,315785.8,226518.0,169499.5
1,237317.5,215267.75,225963.0,214083.6,324595.75,249252.4
3,93470.2,63272.75,102099.8,48105.0,102671.2,57987.75
2,290956.8,150007.25,170409.4,176258.4,229806.8,222438.75
5,207638.5,168410.8,198201.4,204603.25,209875.5,180338.6
4,143635.0,133386.75,213288.75,203453.25,162734.4,182539.0
7,126113.4,190697.0,180719.5,193595.0,248149.0,160774.25
6,189974.4,110236.5,164618.6,185949.8,166796.5,142651.0
9,188983.25,177017.8,220553.2,183359.25,225918.0,313521.0
8,181884.4,220188.75,181411.6,182767.0,126673.5,255364.5
