taskid,SAT,MIDSAT,UNSAT
11,176223.0,118470.222222,184968.125
10,222864.75,245346.75,351875.111111
13,109443.666667,156562.5,179301.7
12,102753.444444,121084.125,190198.7
15,171245.555556,235569.888889,203233.75
14,152016.5,133017.0,119590.0
17,204235.2,227259.375,277913.428571
16,112615.5,138972.6,111958.875
19,294015.5,352952.142857,346711.777778
18,197936.777778,231503.0,181106.875
20,162337.625,233050.1,211907.0
1,234148.111111,224409.777778,275279.375
3,60630.25,73307.8888889,102385.5
2,186223.0,233607.6,200108.1
5,174374.7,206120.875,203389.888889
4,157962.875,173544.125,185203.0
7,175735.625,159854.2,218180.333333
6,126443.75,187962.1,165586.555556
9,237685.888889,186171.25,223235.6
8,237776.625,182276.666667,157083.555556
