taskid,HIGH,LOW
11,150829.75,168074.615385
10,234760.090909,298445.25
13,166466.357143,132624.357143
12,151984.384615,131667.615385
15,182857.909091,223338.25
14,152755.727273,126111.916667
17,245376.090909,224240.363636
16,144983.285714,96600.1538462
19,273723.818182,394966.416667
18,213799.454545,202788.461538
20,203286.363636,191576.583333
1,204941.636364,268479.666667
3,76439.0833333,87051.3846154
2,170115.923077,249203.384615
5,193685.307692,197826.846154
4,183376.25,168219.166667
7,193293.5,169523.461538
6,158305.769231,168281.692308
9,191259.923077,241508.230769
8,187405.909091,187505.692308
