taskid,SAT,MIDSAT,UNSAT
11,2.9,3.0,3.75
10,4.25,4.5,5.88888888889
13,2.77777777778,4.2,4.5
12,2.44444444444,3.375,4.4
15,4.33333333333,5.0,5.125
14,5.1,3.28571428571,3.0
17,3.4,4.375,5.85714285714
16,4.2,4.3,3.0
19,6.875,8.71428571429,6.88888888889
18,3.77777777778,4.22222222222,4.875
20,5.0,6.3,6.125
1,4.77777777778,7.22222222222,5.875
3,2.625,2.44444444444,3.5
2,3.375,5.5,3.8
5,3.8,4.875,4.22222222222
4,4.875,4.0,4.33333333333
7,3.375,4.22222222222,3.66666666667
6,3.625,5.5,4.22222222222
9,6.77777777778,4.375,5.9
8,5.125,3.44444444444,4.77777777778
