taskid,SAT,MIDSAT,UNSAT
11,4.4,4.55555555556,4.0
10,4.125,4.125,4.0
13,4.44444444444,4.4,4.2
12,4.55555555556,4.0,4.3
15,4.33333333333,4.22222222222,4.0
14,4.4,3.85714285714,4.25
17,4.1,2.75,3.14285714286
16,3.8,4.1,4.125
19,2.0,2.42857142857,2.55555555556
18,4.0,4.44444444444,3.75
20,4.25,4.0,4.125
1,4.33333333333,3.77777777778,3.375
3,3.625,4.55555555556,4.7
2,4.125,3.9,3.7
5,4.5,4.25,4.22222222222
4,4.5,4.75,4.55555555556
7,3.75,4.44444444444,4.55555555556
6,4.375,4.6,4.77777777778
9,3.55555555556,3.5,3.8
8,4.125,4.22222222222,4.22222222222
