High Temporal Relevance,,,Low Temporal Relevance,,
user,Estimate Time > Actual Time, Actual Time > Estimate Time,,Estimate Time > Actual Time, Actual Time > Estimate Time
2015040008,10,2,2014011338,0,11
2011010347,11,1,2012013335,0,12
2012012180,10,2,2014011438,3,9
2014011397,11,1,2015040003,0,12
2013013014,7,5,2011012865,7,5
2014011327,1,11,2012012878,9,3
2014012056,0,12,2014012315,1,11
2013012297,1,11,2014011293,9,3
2014011426,5,7,2014011373,12,0
2013011416,9,3,2013012976,12,0
2014011359,12,0,2014011358,12,0
2014011366,10,2,2014011453,9,3
2014011369,11,1,2014011335,0,12
2012012187,12,0,2014011440,6,6
2014010924,7,5,2013010521,10,2
2012011721,3,9,2012011281,1,11
2012011289,9,3,2013012698,11,1
2013012282,11,1,2014011452,5,7
2014011421,11,1,2014011363,6,6
2014011291,12,0,2014011311,11,1
2013011333,9,3,2011011387,2,10
2013012250,10,2,2012011529,7,5
Average,8.272727273,3.727272727,Average,6.045454545,5.909090909
